add-none,1,10,20,148780,7439,0
add-yield-none,1,10,20,162564,8128,0
add-none,2,10,40,145638,3640,0
add-yield-none,2,10,40,166444,4161,6
add-none,4,10,80,192063,2400,0
add-yield-none,4,10,80,212556,2656,7
add-none,8,10,160,286249,1789,0
add-yield-none,8,10,160,282143,1763,15
add-none,12,10,240,380873,1586,0
add-yield-none,12,10,240,380387,1584,21
add-none,1,20,40,115066,2876,0
add-yield-none,1,20,40,173366,4334,0
add-none,2,20,80,134173,1677,0
add-yield-none,2,20,80,163196,2039,15
add-none,4,20,160,171362,1071,0
add-yield-none,4,20,160,217203,1357,17
add-none,8,20,320,290457,907,0
add-yield-none,8,20,320,309270,966,48
add-none,12,20,480,392198,817,14
add-yield-none,12,20,480,395066,823,102
add-none,1,40,80,113361,1417,0
add-yield-none,1,40,80,193460,2418,0
add-none,2,40,160,136491,853,0
add-yield-none,2,40,160,206196,1288,18
add-none,4,40,320,187613,586,0
add-yield-none,4,40,320,243093,759,45
add-none,8,40,640,285847,446,0
add-yield-none,8,40,640,342935,535,105
add-none,12,40,960,380138,395,0
add-yield-none,12,40,960,465881,485,160
add-none,1,80,160,124446,777,0
add-yield-none,1,80,160,228835,1430,0
add-none,2,80,320,157503,492,0
add-yield-none,2,80,320,296437,926,25
add-none,4,80,640,190644,297,0
add-yield-none,4,80,640,309992,484,75
add-none,8,80,1280,354433,276,0
add-yield-none,8,80,1280,445054,347,92
add-none,12,80,1920,403759,210,0
add-yield-none,12,80,1920,499481,260,116
add-none,1,100,200,143785,718,0
add-yield-none,1,100,200,268331,1341,0
add-none,2,100,400,161419,403,0
add-yield-none,2,100,400,331708,829,19
add-none,4,100,800,184930,231,0
add-yield-none,4,100,800,362913,453,56
add-none,8,100,1600,288884,180,99
add-yield-none,8,100,1600,484905,303,153
add-none,12,100,2400,397537,165,0
add-yield-none,12,100,2400,1111118,462,63
add-none,1,1000,2000,135450,67,0
add-yield-none,1,1000,2000,1456516,728,0
add-none,2,1000,4000,173675,43,857
add-yield-none,2,1000,4000,1559780,389,29
add-none,4,1000,8000,259276,32,-299
add-yield-none,4,1000,8000,1827060,228,41
